CCT,Plantel,Subnivel,Subsistema,Municipio,Localidad,Colonia/Asentamiento,Calle,NumExt,Sostenimiento,Dependencia,Dominio (institucional público),Fuente (si aplica)
22MMS0214T,BACHILLERATO NUEVO CONTINENTE CAMPUS QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,PRADOS DE LA CAPILLA,PROLONGACIÓN ZARAGOZA,61.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0212V,BACHILLERATO UNEA CAMPUS QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,ENSUEÑO,PROLONGACIÓN IGNACIO ZARAGOZA,64.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0297S,CENTRO DE EDUCACIÓN Y FORMACIÓN JAMADI,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,JARDINES DE LA HACIENDA,CALLE HACIENDA BUENAVISTA,204.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0144O,CENTRO DE ESTUDIOS UNIVERSITARIOS EN QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,MODELO,PRIVADA DE PLAN DE AYALA,136.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0230K,CENTRO DE FORMACIÓN INTEGRAL DE BACHILLERATO PLANTEL QUERÉTARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LA ERA,CALLE ESTIO,33.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0174I,CENTRO DE INNOVACION EDUCATIVA MEXICO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CASA BLANCA,AVENIDA CONSTITUYENTES PONIENTE,155.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0315R,CENTRO EDUCATIVO MEXICO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,RINCONADA DEL SOL,CALLE ALFA CENTAURO,62.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0202O,CENTRO UNIVERSITARIO DE EDUCACION CONTEMPORANEA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,PRIVADA IGNACIO PÉREZ,54.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0147L,"CENTRO UNIVERSITARIO SALVADOR VAZQUEZ ALTAMIRANO, A.C.",BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE PINO SUAREZ,106.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0128X,CINCO DE MAYO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE PROSPERO C. VEGA,17.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0158R,CLARA BARTON,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN JAVIER,CALLE CIRCUNVALACIÓN,10.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0194W,CLEMENCIA BORJA TABOADA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE ARTEAGA,11.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0142Q,COLEGIO ALAMOS,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,ARBOLEDAS,CALLE DEL SOL,1000.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0271K,COLEGIO AUSTRIACO MEXICANO PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,TLACOTE EL BAJO,CALLE LIBRAMIENTO SUR - PONIENTE,26501.0,PRIVADO,ORGANISMO INTERNACIONAL,,
22MMS0169X,COLEGIO BOSQUES PREPARATORIA CAMPUS REAL,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN PABLO,CALLE AVENIDA REAL,1.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0178E,COLEGIO CAROL BAUR,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,JURIQUILLA,JURICA ACUEDUCTO,CALLE MISION DE SAN FRANCISCO,500.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0153W,COLEGIO EDUCACION Y PATRIA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN PEDRITO PEÑUELAS I,CALLE COCINERAS,63.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0307I,COLEGIO FONTANAR SEDE CAMPANARIO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,LA PURÍSIMA,LA PURISIMA,CALLE QUERETARO - EL POZO,410.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0125Z,COLEGIO FRAY LUIS DE LEON,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,NIÑOS HEROES,CALLE PINO SUAREZ,349.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0171L,COLEGIO GENERAL REGULES,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,AVENIDA UNIVERSIDAD,231.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0162D,COLEGIO GRAN BRETAÑA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN PABLO,CALLEJÓN SAN JOAQUIN,5.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0182R,COLEGIO HELEN PARKHURST,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CERRITO COLORADO,PROLONGACIÓN BERNARDO QUINTANA,3150.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0299Q,COLEGIO HOLANDÉS DE QUERÉTARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,PARQUES INDUSTRIALES ALAMOS 2a SECCIÓN,CALLE MANUFACTURA,30.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0304L,COLEGIO INTERNACIONAL DE ESTUDIOS VIRTUALES,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CIMATARIO,CALLE FRAY SEBASTIAN DE APARICIO,28.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0179D,COLEGIO INTERNACIONAL DE QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,JURICA,CALLE PASEO DEL MESON,77.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0127Y,"COLEGIO LAFAYETTE DE QUERETARO, A. C.",BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,ESPAÑA,CALLE IGNACIO RAMIREZ,143.0,PRIVADO,ASOCIACIÓN CIVIL,colegio-lafayette.edu.mx,Mail subdomain mail.colegio-lafayette.edu.mx
22MMS0129W,COLEGIO MARCELINA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,ARBOLEDAS,CALLE PASEO DE LA CONSTITUCION,101.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0185O,COLEGIO MASIA DE QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,AVENIDA EJÉRCITO REPUBLICANO,153.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0137E,COLEGIO MONTPELLIER,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LAS ARBOLEDAS,CALLE PASEO DE LOS CEDROS,12.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0173J,COLEGIO NUEVA ESPAÑA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,NIÑOS HEROES,CALLE FRANCISCO I MADERO,264.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0009J,COLEGIO SUIZO DE MEXICO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LA CIMA,CIRCUITO LA CIMA,901.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0172K,COLEGIO SUNHILLS VALLEY,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,MOMPANÍ,"LIBRAMIENTO SUR-PONIENTE 33982 MOMPANÍ, QRO.",CALLE LIBRAMIENTO SUR-PONIENTE,33982.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0276F,COLEGIO UNIVERSITARIO DE HUMANIDADES ( CUDH ),BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,VILLAS DEL SUR,CALLE GONZALO RIO ARRONTE,24.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0227X,"CONJUNTO EDUCATIVO SOCIAL COMERCIAL ADMINISTRATIVO, A. C.",BACHILLERATO GENERAL Y TECNOLÓGICO,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE INVIERNO,41.0,PRIVADO,ASOCIACIÓN CIVIL,,
